time_period,time_identifier,geographic_level,country_code,country_name,characteristic_value,subject,percent_entered,number_of_students,version,year
202324,Academic year,National,E92000001,England,Male,Further maths & chemistry & physics & computer science,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & chemistry & physics & computer science,0,19,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & biology & chemistry & computer science,0,33,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & biology & chemistry & computer science,0,49,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & biology & chemistry & computer science,0,82,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & biology & chemistry & physics,0.2,282,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & biology & chemistry & physics,0.3,372,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & biology & chemistry & physics,0.2,655,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & biology & physics & computer science,0,3,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & biology & physics & computer science,0,11,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & biology & physics & computer science,0,14,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & chemistry & physics & computer science,0,22,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & chemistry & physics & computer science,0,61,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & chemistry & physics & computer science,0,83,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & biology & chemistry,0.3,487,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & biology & chemistry,0.3,461,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & biology & chemistry,0.3,949,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & biology & computer science,0,7,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & biology & computer science,0,17,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & biology & computer science,0,24,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & biology & physics,0,67,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & biology & physics,0.1,113,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & biology & physics,0.1,180,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & chemistry & computer science,0,31,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & chemistry & computer science,0.1,109,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & chemistry & computer science,0,140,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & chemistry & physics,0.4,691,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & chemistry & physics,1.5,2080,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & chemistry & physics,0.9,2773,Revised,2024
202324,Academic year,National,E92000001,England,Female,Maths & further maths & physics & computer science,0.2,286,Revised,2024
202324,Academic year,National,E92000001,England,Male,Maths & further maths & physics & computer science,1.4,1868,Revised,2024
202324,Academic year,National,E92000001,England,All students,Maths & further maths & physics & computer science,0.7,2154,Revised,2024
202324,Academic year,National,E92000001,England,Female,Biology & chemistry & computer science,0.1,124,Revised,2024
202324,Academic year,National,E92000001,England,Male,Biology & chemistry & computer science,0.2,242,Revised,2024
202324,Academic year,National,E92000001,England,All students,Biology & chemistry & computer science,0.1,366,Revised,2024
202324,Academic year,National,E92000001,England,Female,Biology & chemistry & physics,0.5,815,Revised,2024
202324,Academic year,National,E92000001,England,Male,Biology & chemistry & physics,0.7,933,Revised,2024
202324,Academic year,National,E92000001,England,All students,Biology & chemistry & physics,0.6,1750,Revised,2024
202324,Academic year,National,E92000001,England,Female,Biology & physics & computer science,0,12,Revised,2024
202324,Academic year,National,E92000001,England,Male,Biology & physics & computer science,0,57,Revised,2024
202324,Academic year,National,E92000001,England,All students,Biology & physics & computer science,0,69,Revised,2024
202324,Academic year,National,E92000001,England,Female,Chemistry & physics & computer science,0,28,Revised,2024
202324,Academic year,National,E92000001,England,Male,Chemistry & physics & computer science,0.1,128,Revised,2024
202324,Academic year,National,E92000001,England,All students,Chemistry & physics & computer science,0.1,156,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & biology & chemistry,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & biology & chemistry,NA,NA,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & biology & chemistry,0.3,952,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & biology & computer science,0,7,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & biology & computer science,0,18,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & biology & computer science,0,25,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & biology & physics,0,68,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & biology & physics,0.1,114,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & biology & physics,0.1,182,Revised,2024
202324,Academic year,National,E92000001,England,Female,Further maths & chemistry & computer science,0,31,Revised,2024
202324,Academic year,National,E92000001,England,Male,Further maths & chemistry & computer science,0.1,111,Revised,2024
202324,Academic year,National,E92000001,England,All students,Further maths & chemistry & computer science,0,142,Revised,2024
