time_period,time_identifier,geographic_level,country_code,country_name,version,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps_per_entry,aps_per_entry_2013_2015,aps_per_entry_grade,aps_per_entry_grade_2013_2015,year_2013_2015,year
202122,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Female,17138,38.3286,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Female,13117,34.0068,NA,C+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Female,19325,39.063,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Female,10390,34.8564,NA,C+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Female,130,30.3416,NA,C, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Female,484,28.2881,NA,C-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,Male,22023,35.2545,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,Male,17543,44.7804,NA,B+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All schools,All schools,Male,106217,38.6587,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,Male,128240,38.0966,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,Male,88653,37.3755,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,Male,110676,36.9659,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,Male,60663,38.1533,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,Male,1563,34.5317,NA,C+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,Male,2178,39.937,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,Male,17498,44.8052,NA,B+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,Male,45,30.8989,NA,C, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,Male,14208,36.7794,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,Male,8257,32.3789,NA,C+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,Male,13766,36.9938,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,Male,8737,33.1,NA,C+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,Male,156,29.9296,NA,C, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,Male,983,27.5523,NA,C-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All FE sector colleges,All FE sector colleges,All students,54465,36.288,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All independent schools,All independent schools,All students,34618,45.6063,NA,A-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All schools,All schools,All students,229915,39.4551,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All institutions,All Institutions,All students,284380,38.8739,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All state-funded schools,All state-funded schools,All students,195258,38.2834,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,All state-funded schools and colleges,All state-funded,All students,249723,37.8621,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Converter academies - mainstream,All state-funded schools,All students,134454,39.0556,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Free schools,All state-funded schools,All students,3021,35.4211,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Free schools 16-19,All state-funded schools,All students,5139,40.0147,NA,B, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Independent schools,All independent schools,All students,34552,45.6248,NA,A-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Independent special schools,All independent schools,All students,66,30.3734,NA,C, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,LA maintained mainstream schools,All state-funded schools,All students,31346,37.6197,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Other FE sector colleges,All FE sector colleges,All students,21374,33.3723,NA,C+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Sixth form colleges,All FE sector colleges,All students,33091,38.1922,NA,B-, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Sponsored academies - mainstream,All state-funded schools,All students,19127,34.0532,NA,C+, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,Studio schools,All state-funded schools,All students,286,30.1279,NA,C, ,NA,2022
202122,Academic year,National,E92000001,England,Revised,University technical colleges (UTCs),All state-funded schools,All students,1467,27.797,NA,C-, ,NA,2022
