year,time_period,establishment_type,establishment_type_group,characteristic_sex,number_of_students,aps,aps_grade,version,cert_type
2022,202122,All FE sector colleges,All FE sector colleges,All students,49574,30.44,Dist-,Revised,Applied general
2022,202122,All independent schools,All independent schools,All students,2178,36.56,Dist,Revised,Applied general
2022,202122,All schools,All schools,All students,70282,33.4,Dist,Revised,Applied general
2022,202122,All institutions,All Institutions,All students,119853,31.98,Dist-,Revised,Applied general
2022,202122,All state-funded schools,All state-funded schools,All students,68095,33.31,Dist-,Revised,Applied general
2022,202122,All state-funded,All state-funded,All students,117666,31.91,Dist-,Revised,Applied general
2022,202122,Converter academies - mainstream,All state-funded schools,All students,40418,33.43,Dist,Revised,Applied general
2022,202122,Free schools,All state-funded schools,All students,499,32.85,Dist-,Revised,Applied general
2022,202122,Free schools 16-19,All state-funded schools,All students,1760,35.05,Dist,Revised,Applied general
2022,202122,Independent schools,All independent schools,All students,2161,36.6,Dist,Revised,Applied general
2022,202122,Independent special schools,All independent schools,All students,17,30.11,Dist-,Revised,Applied general
2022,202122,LA maintained mainstream schools,All state-funded schools,All students,11908,33.13,Dist-,Revised,Applied general
2022,202122,Other FE sector colleges,All FE sector colleges,All students,32037,29.05,Merit+,Revised,Applied general
2022,202122,Sixth form colleges,All FE sector colleges,All students,17537,33.7,Dist,Revised,Applied general
2022,202122,Sponsored academies - mainstream,All state-funded schools,All students,11978,32.94,Dist-,Revised,Applied general
2022,202122,Studio schools,All state-funded schools,All students,380,30.13,Dist-,Revised,Applied general
2022,202122,University technical colleges (UTCs),All state-funded schools,All students,985,32.62,Dist-,Revised,Applied general
2022,202122,All FE sector colleges,All FE sector colleges,All students,19104,29.1,Merit+,Revised,Tech level
2022,202122,All independent schools,All independent schools,All students,180,34.79,Dist,Revised,Tech level
2022,202122,All schools,All schools,All students,9432,34.82,Dist,Revised,Tech level
2022,202122,All institutions,All Institutions,All students,28535,30.56,Dist-,Revised,Tech level
2022,202122,All state-funded schools,All state-funded schools,All students,9247,34.82,Dist,Revised,Tech level
2022,202122,All state-funded,All state-funded,All students,28350,30.54,Dist-,Revised,Tech level
2022,202122,Converter academies - mainstream,All state-funded schools,All students,4296,36.17,Dist,Revised,Tech level
2022,202122,Free schools,All state-funded schools,All students,131,38.22,Dist+,Revised,Tech level
2022,202122,Free schools 16-19,All state-funded schools,All students,204,33.27,Dist-,Revised,Tech level
2022,202122,Independent schools,All independent schools,All students,176,35.09,Dist,Revised,Tech level
2022,202122,Independent special schools,All independent schools,All students,4,19.44,Pass+,Revised,Tech level
2022,202122,LA maintained mainstream schools,All state-funded schools,All students,1472,35.01,Dist,Revised,Tech level
2022,202122,Other FE sector colleges,All FE sector colleges,All students,17470,28.65,Merit+,Revised,Tech level
2022,202122,Sixth form colleges,All FE sector colleges,All students,1634,35.17,Dist,Revised,Tech level
2022,202122,Sponsored academies - mainstream,All state-funded schools,All students,1656,33.6,Dist,Revised,Tech level
2022,202122,Studio schools,All state-funded schools,All students,141,30.28,Dist-,Revised,Tech level
2022,202122,University technical colleges (UTCs),All state-funded schools,All students,1327,32.81,Dist-,Revised,Tech level
2023,202223,All FE sector colleges,All FE sector colleges,All students,57469,32.46,C+,Revised,A level
2023,202223,All independent schools,All independent schools,All students,36220,42.53,B+,Revised,A level
2023,202223,All schools,All schools,All students,234890,35.94,B-,Revised,A level
2023,202223,All institutions,All Institutions,All students,292201,35.29,B-,Revised,A level
2023,202223,All state-funded schools,All state-funded schools,All students,198613,34.63,C+,Revised,A level
2023,202223,All state-funded,All state-funded,All students,255992,34.16,C+,Revised,A level
2023,202223,Converter academies - mainstream,All state-funded schools,All students,135998,35.33,B-,Revised,A level
2023,202223,Free schools,All state-funded schools,All students,3785,32.45,C+,Revised,A level
2023,202223,Free schools 16-19,All state-funded schools,All students,5527,36.83,B-,Revised,A level
2023,202223,Independent schools,All independent schools,All students,36134,42.56,B+,Revised,A level
2023,202223,Independent special schools,All independent schools,All students,86,24.44,D+,Revised,A level
2023,202223,LA maintained mainstream schools,All state-funded schools,All students,31494,34.19,C+,Revised,A level
2023,202223,Other FE sector colleges,All FE sector colleges,All students,23441,29.3,C,Revised,A level
2023,202223,Sixth form colleges,All FE sector colleges,All students,34028,34.61,C+,Revised,A level
2023,202223,Sponsored academies - mainstream,All state-funded schools,All students,19655,30.26,C,Revised,A level
2023,202223,Studio schools,All state-funded schools,All students,292,28.06,C-,Revised,A level
2023,202223,University technical colleges (UTCs),All state-funded schools,All students,1392,25.47,C-,Revised,A level
2023,202223,All FE sector colleges,All FE sector colleges,All students,51201,27.99,Merit+,Revised,Applied general
2023,202223,All independent schools,All independent schools,All students,2307,32.66,Dist-,Revised,Applied general
2023,202223,All schools,All schools,All students,72415,30.98,Dist-,Revised,Applied general
2023,202223,All institutions,All Institutions,All students,123265,29.56,Merit+,Revised,Applied general
2023,202223,All state-funded schools,All state-funded schools,All students,70098,30.93,Dist-,Revised,Applied general
2023,202223,All state-funded,All state-funded,All students,120950,29.52,Merit+,Revised,Applied general
2023,202223,Converter academies - mainstream,All state-funded schools,All students,41885,31.04,Dist-,Revised,Applied general
2023,202223,Free schools,All state-funded schools,All students,647,29.74,Merit+,Revised,Applied general
2023,202223,Free schools 16-19,All state-funded schools,All students,1988,33.36,Dist,Revised,Applied general
2023,202223,Independent schools,All independent schools,All students,2274,32.79,Dist-,Revised,Applied general
2023,202223,Independent special schools,All independent schools,All students,33,22.05,Merit-,Revised,Applied general
2023,202223,LA maintained mainstream schools,All state-funded schools,All students,11535,31.01,Dist-,Revised,Applied general
2023,202223,Other FE sector colleges,All FE sector colleges,All students,33523,26.52,Merit,Revised,Applied general
2023,202223,Sixth form colleges,All FE sector colleges,All students,17678,31.52,Dist-,Revised,Applied general
2023,202223,Sponsored academies - mainstream,All state-funded schools,All students,12446,30.14,Dist-,Revised,Applied general
2023,202223,Studio schools,All state-funded schools,All students,382,30.53,Dist-,Revised,Applied general
2023,202223,University technical colleges (UTCs),All state-funded schools,All students,1064,30.81,Dist-,Revised,Applied general
2023,202223,All FE sector colleges,All FE sector colleges,All students,19006,26.84,Merit+,Revised,Tech level
2023,202223,All independent schools,All independent schools,All students,148,35.51,Dist,Revised,Tech level
2023,202223,All schools,All schools,All students,9199,33.19,Dist-,Revised,Tech level
2023,202223,All institutions,All Institutions,All students,28023,28.52,Merit+,Revised,Tech level
2023,202223,All state-funded schools,All state-funded schools,All students,9044,33.17,Dist-,Revised,Tech level
2023,202223,All state-funded,All state-funded,All students,27869,28.5,Merit+,Revised,Tech level
2023,202223,Converter academies - mainstream,All state-funded schools,All students,4264,33.83,Dist,Revised,Tech level
2023,202223,Free schools,All state-funded schools,All students,129,33.32,Dist-,Revised,Tech level
2023,202223,Free schools 16-19,All state-funded schools,All students,272,35.14,Dist,Revised,Tech level
2023,202223,Independent schools,All independent schools,All students,147,35.62,Dist,Revised,Tech level
2023,202223,Independent special schools,All independent schools,All students,1,15,Pass,Revised,Tech level
2023,202223,LA maintained mainstream schools,All state-funded schools,All students,1344,33.15,Dist-,Revised,Tech level
2023,202223,Other FE sector colleges,All FE sector colleges,All students,17550,26.31,Merit,Revised,Tech level
2023,202223,Sixth form colleges,All FE sector colleges,All students,1456,34.65,Dist,Revised,Tech level
2023,202223,Sponsored academies - mainstream,All state-funded schools,All students,1694,33.35,Dist,Revised,Tech level
2023,202223,Studio schools,All state-funded schools,All students,121,27.74,Merit+,Revised,Tech level
2023,202223,University technical colleges (UTCs),All state-funded schools,All students,1201,31.27,Dist-,Revised,Tech level
2024,202324,All FE sector colleges,All FE sector colleges,All students,60793,32.52,C+,Revised,A level
2024,202324,All independent schools,All independent schools,All students,36968,43.04,B+,Revised,A level
2024,202324,All schools,All schools,All students,238951,36.25,B-,Revised,A level
2024,202324,All institutions,All Institutions,All students,299335,35.55,B-,Revised,A level
2024,202324,All state-funded schools,All state-funded schools,All students,201934,34.89,C+,Revised,A level
2024,202324,All state-funded,All state-funded,All students,262421,34.38,C+,Revised,A level
2024,202324,Converter academies - mainstream,All state-funded schools,All students,139442,35.55,B-,Revised,A level
2024,202324,Free schools,All state-funded schools,All students,4386,33.02,C+,Revised,A level
2024,202324,Free schools 16-19,All state-funded schools,All students,6515,37.51,B-,Revised,A level
2024,202324,Independent schools,All independent schools,All students,36845,43.07,B+,Revised,A level
2024,202324,Independent special schools,All independent schools,All students,123,25.26,C-,Revised,A level
2024,202324,LA maintained mainstream schools,All state-funded schools,All students,29709,34.28,C+,Revised,A level
2024,202324,Other FE sector colleges,All FE sector colleges,All students,25660,29.15,C,Revised,A level
2024,202324,Sixth form colleges,All FE sector colleges,All students,35133,34.89,C+,Revised,A level
2024,202324,Sponsored academies - mainstream,All state-funded schools,All students,19652,30.86,C,Revised,A level
2024,202324,Studio schools,All state-funded schools,All students,223,29.03,C,Revised,A level
2024,202324,University technical colleges (UTCs),All state-funded schools,All students,1556,26.15,C-,Revised,A level
2024,202324,All FE sector colleges,All FE sector colleges,All students,58191,27.32,Merit+,Revised,Applied general
2024,202324,All independent schools,All independent schools,All students,2638,33.96,Dist,Revised,Applied general
2024,202324,All schools,All schools,All students,74207,30.95,Dist-,Revised,Applied general
2024,202324,All institutions,All Institutions,All students,131270,29.17,Merit+,Revised,Applied general
2024,202324,All state-funded schools,All state-funded schools,All students,71553,30.85,Dist-,Revised,Applied general
2024,202324,All state-funded,All state-funded,All students,128634,29.09,Merit+,Revised,Applied general
2024,202324,Converter academies - mainstream,All state-funded schools,All students,43523,30.98,Dist-,Revised,Applied general
2024,202324,Free schools,All state-funded schools,All students,823,30.34,Dist-,Revised,Applied general
2024,202324,Free schools 16-19,All state-funded schools,All students,2407,33.68,Dist,Revised,Applied general
2024,202324,Independent schools,All independent schools,All students,2598,34.08,Dist,Revised,Applied general
2024,202324,Independent special schools,All independent schools,All students,40,22.76,Merit-,Revised,Applied general
2024,202324,LA maintained mainstream schools,All state-funded schools,All students,11229,30.85,Dist-,Revised,Applied general
2024,202324,Other FE sector colleges,All FE sector colleges,All students,40035,25.66,Merit,Revised,Applied general
2024,202324,Sixth form colleges,All FE sector colleges,All students,18156,31.79,Dist-,Revised,Applied general
2024,202324,Sponsored academies - mainstream,All state-funded schools,All students,12116,29.91,Merit+,Revised,Applied general
2024,202324,Studio schools,All state-funded schools,All students,279,29.54,Merit+,Revised,Applied general
2024,202324,University technical colleges (UTCs),All state-funded schools,All students,994,30.2,Dist-,Revised,Applied general
2024,202324,All FE sector colleges,All FE sector colleges,All students,18883,26.44,Merit,Revised,Tech level
2024,202324,All independent schools,All independent schools,All students,178,35.91,Dist,Revised,Tech level
2024,202324,All schools,All schools,All students,8593,33.05,Dist-,Revised,Tech level
2024,202324,All institutions,All Institutions,All students,27354,28.14,Merit+,Revised,Tech level
2024,202324,All state-funded schools,All state-funded schools,All students,8408,33.02,Dist-,Revised,Tech level
2024,202324,All state-funded,All state-funded,All students,27170,28.11,Merit+,Revised,Tech level
2024,202324,Converter academies - mainstream,All state-funded schools,All students,4041,33.36,Dist,Revised,Tech level
2024,202324,Free schools,All state-funded schools,All students,151,33.65,Dist,Revised,Tech level
2024,202324,Free schools 16-19,All state-funded schools,All students,246,34.23,Dist,Revised,Tech level
2024,202324,Independent schools,All independent schools,All students,178,35.91,Dist,Revised,Tech level
2024,202324,Independent special schools,All independent schools,All students,0,NA,z,Revised,Tech level
2024,202324,LA maintained mainstream schools,All state-funded schools,All students,1194,33.56,Dist,Revised,Tech level
2024,202324,Other FE sector colleges,All FE sector colleges,All students,17412,25.83,Merit,Revised,Tech level
2024,202324,Sixth form colleges,All FE sector colleges,All students,1471,35.46,Dist,Revised,Tech level
2024,202324,Sponsored academies - mainstream,All state-funded schools,All students,1507,32.83,Dist-,Revised,Tech level
2024,202324,Studio schools,All state-funded schools,All students,121,26.72,Merit+,Revised,Tech level
2024,202324,University technical colleges (UTCs),All state-funded schools,All students,1135,32.21,Dist-,Revised,Tech level
2025,202425,All FE sector colleges,All FE sector colleges,All students,57132,33,C+,Revised,A level
2025,202425,All independent schools,All independent schools,All students,37351,43.07,B+,Revised,A level
2025,202425,All schools,All schools,All students,242079,36.75,B-,Revised,A level
2025,202425,All institutions,All Institutions,All students,298713,36.09,B-,Revised,A level
2025,202425,All state-funded schools,All state-funded schools,All students,204685,35.49,B-,Revised,A level
2025,202425,All state-funded,All state-funded,All students,261447,34.99,C+,Revised,A level
2025,202425,Converter academies - mainstream,All state-funded schools,All students,143501,36.03,B-,Revised,A level
2025,202425,Free schools,All state-funded schools,All students,5346,34.45,C+,Revised,A level
2025,202425,Free schools 16-19,All state-funded schools,All students,6894,38.23,B-,Revised,A level
2025,202425,Independent schools,All independent schools,All students,37196,43.11,B+,Revised,A level
2025,202425,Independent special schools,All independent schools,All students,155,26.75,C-,Revised,A level
2025,202425,LA maintained mainstream schools,All state-funded schools,All students,27423,35.09,B-,Revised,A level
2025,202425,Other FE sector colleges,All FE sector colleges,All students,24488,29.46,C,Revised,A level
2025,202425,Sixth form colleges,All FE sector colleges,All students,32644,35.56,B-,Revised,A level
2025,202425,Sponsored academies - mainstream,All state-funded schools,All students,19196,31.49,C,Revised,A level
2025,202425,Studio schools,All state-funded schools,All students,237,31.41,C,Revised,A level
2025,202425,University technical colleges (UTCs),All state-funded schools,All students,1605,27.1,C-,Revised,A level
2025,202425,All FE sector colleges,All FE sector colleges,All students,57201,28.26,Merit+,Revised,Applied general
2025,202425,All independent schools,All independent schools,All students,3072,34.46,Dist,Revised,Applied general
2025,202425,All schools,All schools,All students,79359,31.52,Dist-,Revised,Applied general
2025,202425,All institutions,All Institutions,All students,135886,29.97,Merit+,Revised,Applied general
2025,202425,All state-funded schools,All state-funded schools,All students,76278,31.41,Dist-,Revised,Applied general
2025,202425,All state-funded,All state-funded,All students,132817,29.89,Merit+,Revised,Applied general
2025,202425,Converter academies - mainstream,All state-funded schools,All students,48161,31.54,Dist-,Revised,Applied general
2025,202425,Free schools,All state-funded schools,All students,1088,30.19,Dist-,Revised,Applied general
2025,202425,Free schools 16-19,All state-funded schools,All students,2676,34.39,Dist,Revised,Applied general
2025,202425,Independent schools,All independent schools,All students,3028,34.59,Dist,Revised,Applied general
2025,202425,Independent special schools,All independent schools,All students,44,24.45,Merit,Revised,Applied general
2025,202425,LA maintained mainstream schools,All state-funded schools,All students,10483,31.21,Dist-,Revised,Applied general
2025,202425,Other FE sector colleges,All FE sector colleges,All students,39340,26.55,Merit,Revised,Applied general
2025,202425,Sixth form colleges,All FE sector colleges,All students,17861,32.78,Dist-,Revised,Applied general
2025,202425,Sponsored academies - mainstream,All state-funded schools,All students,12354,30.7,Dist-,Revised,Applied general
2025,202425,Studio schools,All state-funded schools,All students,330,30.14,Dist-,Revised,Applied general
2025,202425,University technical colleges (UTCs),All state-funded schools,All students,1018,30.45,Dist-,Revised,Applied general
2025,202425,All FE sector colleges,All FE sector colleges,All students,16597,26.96,Merit+,Revised,Tech level
2025,202425,All independent schools,All independent schools,All students,182,35.75,Dist,Revised,Tech level
2025,202425,All schools,All schools,All students,8339,34.03,Dist,Revised,Tech level
2025,202425,All institutions,All Institutions,All students,24844,28.86,Merit+,Revised,Tech level
2025,202425,All state-funded schools,All state-funded schools,All students,8154,34,Dist,Revised,Tech level
2025,202425,All state-funded,All state-funded,All students,24659,28.82,Merit+,Revised,Tech level
2025,202425,Converter academies - mainstream,All state-funded schools,All students,4055,34.41,Dist,Revised,Tech level
2025,202425,Free schools,All state-funded schools,All students,120,34.6,Dist,Revised,Tech level
2025,202425,Free schools 16-19,All state-funded schools,All students,270,34.8,Dist,Revised,Tech level
2025,202425,Independent schools,All independent schools,All students,181,35.7,Dist,Revised,Tech level
2025,202425,Independent special schools,All independent schools,All students,1,50,Dist*,Revised,Tech level
2025,202425,LA maintained mainstream schools,All state-funded schools,All students,1027,34.94,Dist,Revised,Tech level
2025,202425,Other FE sector colleges,All FE sector colleges,All students,15295,26.3,Merit,Revised,Tech level
2025,202425,Sixth form colleges,All FE sector colleges,All students,1302,37.01,Dist+,Revised,Tech level
2025,202425,Sponsored academies - mainstream,All state-funded schools,All students,1516,33.69,Dist,Revised,Tech level
2025,202425,Studio schools,All state-funded schools,All students,117,26.44,Merit,Revised,Tech level
2025,202425,University technical colleges (UTCs),All state-funded schools,All students,1027,33.09,Dist-,Revised,Tech level
