year,time_period,school_type,school_type_group,characteristic_gender,number_of_students,aps,aps_grade,version,cert_type
2019,201819,All independent schools,Independent schools,Female,18187,41.7931,B+,Provisional,Alevel
2019,201819,All schools,All schools,Female,122210,34.8821,C+,Provisional,Alevel
2019,201819,All schools and FE sector colleges,All Institutions,Female,158250,34.325,C+,Provisional,Alevel
2019,201819,All state-funded schools,State-funded schools,Female,104000,33.5605,C+,Provisional,Alevel
2019,201819,All state-funded schools and colleges,All state-funded,Female,140211,33.2624,C+,Provisional,Alevel
2019,201819,Converter academies - mainstream,State-funded schools,Female,69296,34.4215,C+,Provisional,Alevel
2019,201819,Free schools,State-funded schools,Female,750,29.446,C,Provisional,Alevel
2019,201819,Free schools 16-19,State-funded schools,Female,1611,37.677,B-,Provisional,Alevel
2019,201819,Independent schools,Independent schools,Female,18165,41.805,B+,Provisional,Alevel
2019,201819,Independent special schools,Independent schools,Female,22,26.375,C-,Provisional,Alevel
2019,201819,LA maintained mainstream schools,State-funded schools,Female,20711,32.6541,C+,Provisional,Alevel
2019,201819,Other FE sector colleges,FE sector colleges,Female,15159,28.8803,C,Provisional,Alevel
2019,201819,Sixth form colleges,FE sector colleges,Female,23465,34.1918,C+,Provisional,Alevel
2019,201819,Sponsored academies - mainstream,State-funded schools,Female,10870,29.1085,C,Provisional,Alevel
2019,201819,Studio schools,State-funded schools,Female,137,25.8876,C-,Provisional,Alevel
2019,201819,University Technical Colleges (UTCs),State-funded schools,Female,364,24.4033,D+,Provisional,Alevel
2019,201819,All FE sector colleges,FE sector colleges,Male,27401,30.7129,C,Provisional,Alevel
2019,201819,All independent schools,Independent schools,Male,18482,40.0404,B,Provisional,Alevel
2019,201819,All schools,All schools,Male,106436,33.5718,C+,Provisional,Alevel
2019,201819,All schools and FE sector colleges,All Institutions,Male,131372,33.0821,C+,Provisional,Alevel
2019,201819,All state-funded schools,State-funded schools,Male,87936,32.1009,C+,Provisional,Alevel
2019,201819,All state-funded schools and colleges,All state-funded,Male,113014,31.8482,C+,Provisional,Alevel
2019,201819,Converter academies - mainstream,State-funded schools,Male,57950,33.0099,C+,Provisional,Alevel
2019,201819,Free schools,State-funded schools,Male,766,29.6893,C,Provisional,Alevel
2019,201819,Free schools 16-19,State-funded schools,Male,1401,37.4564,B-,Provisional,Alevel
2019,201819,Independent schools,Independent schools,Male,18436,40.0621,B,Provisional,Alevel
